query_name,recordType,elementGlobalId,scientificName,primaryCommonName,classificationStatus,roundedGRank,gRank
Pentodon pentandrus,SPECIES,139194,Pentodon pentandrus,Hall's Pentodon,Standard,G5,G5?
Pereskia aculeata,SPECIES,145004,Pereskia aculeata,Gooseberry,Standard,G4,G4
Persea borbonia,SPECIES,154633,Persea borbonia,Red Bay,Standard,G5,G5
Persicaria hydropiper,SPECIES,150995,Persicaria hydropiper,Marshpepper Smartweed,Standard,GNR,GNR
Persicaria hydropiperoides,SPECIES,147112,Persicaria hydropiperoides,Mild Water-pepper,Standard,G5,G5
Persicaria maculosa,SPECIES,151956,Persicaria maculosa,Spotted Lady's-thumb,Standard,G4,G3G5
Persicaria sagittata,SPECIES,146803,Persicaria sagittata,Arrowleaf Tearthumb,Standard,G5,G5
Petasites frigidus,SPECIES,145028,Petasites frigidus,Arctic Butter-bur,Standard,G5,G5
Peucephyllum schottii,SPECIES,154289,Peucephyllum schottii,Schott's Pygmy-cedar,Standard,G5,G5
Phaseolus filiformis,SPECIES,138414,Phaseolus filiformis,Wright's Phaseolus,Standard,G5,G5
Phaseolus maculatus,SPECIES,145648,Phaseolus maculatus,Melcalfe's Bean,Standard,G4,G3G5
Phippsia algida,SPECIES,131896,Phippsia algida,Ice Grass,Standard,G5,G5
Phleum alpinum,SPECIES,143148,Phleum alpinum,Mountain Timothy,Standard,G5,G5
Phyla lanceolata,SPECIES,135994,Phyla lanceolata,Fogfruit,Standard,G5,G5
Phyla nodiflora,SPECIES,161322,Phyla nodiflora,Common Fogfruit,Standard,G5,G5
Phyllospadix serrulatus,SPECIES,151350,Phyllospadix serrulatus,Serrulate Surf-grass,Standard,G4,G4
Physalis acutifolia,SPECIES,159680,Physalis acutifolia,Sharp-leaf Ground-cherry,Standard,G5,G5?
Physalis angulata,SPECIES,141806,Physalis angulata,Cutleaf Ground-cherry,Standard,G5,G5
Physalis cinerascens,SPECIES,154783,Physalis cinerascens,Small-flower Ground-cherry,Standard,G4,G4G5
Physalis crassifolia,SPECIES,153745,Physalis crassifolia,Thick-leaf Ground-cherry,Standard,G5,G5
Physalis hederifolia,SPECIES,150338,Physalis hederifolia,Hillside Ground-cherry,Standard,G5,G5?
Physalis pubescens,SPECIES,143889,Physalis pubescens,Low Hairy Ground-cherry,Standard,G5,G5
Physalis virginiana,SPECIES,134889,Physalis virginiana,Virginia Ground-cherry,Standard,G5,G5
Picea breweriana,SPECIES,160667,Picea breweriana,Brewer's Spruce,Standard,G4,G4
Picea engelmannii,SPECIES,161764,Picea engelmannii,Engelmann Spruce,Standard,G5,G5
Picea glauca,SPECIES,133395,Picea glauca,White Spruce,Standard,G5,G5
Picea mariana,SPECIES,160234,Picea mariana,Black Spruce,Standard,G5,G5
Picea pungens,SPECIES,148378,Picea pungens,Blue Spruce,Standard,G5,G5
Picea rubens,SPECIES,140160,Picea rubens,Red Spruce,Standard,G5,G5
Picea sitchensis,SPECIES,137451,Picea sitchensis,Sitka Spruce,Standard,G5,G5
Picramnia pentandra,SPECIES,144851,Picramnia pentandra,Bitter-bush,Standard,G4,G4G5
Pilea fontana,SPECIES,141134,Pilea fontana,Springs Clearweed,Standard,G5,G5
Pimenta dioica,SPECIES,139940,Pimenta dioica,Bayamon,Standard,G5,G5
Pinguicula macroceras,SPECIES,139335,Pinguicula macroceras,California Butterwort,Standard,G4,G4
Pinguicula villosa,SPECIES,144077,Pinguicula villosa,Hairy Butterwort,Standard,G5,G5
Pinguicula vulgaris,SPECIES,153631,Pinguicula vulgaris,Common Butterwort,Standard,G5,G5
Pinus albicaulis,SPECIES,128475,Pinus albicaulis,Whitebark Pine,Standard,G3,G3G4
Pinus aristata,SPECIES,150471,Pinus aristata,Bristlecone Pine,Standard,G3,G3
Pinus arizonica,SPECIES,145941,Pinus arizonica,Arizona Pine,Standard,G4,G4
Pinus attenuata,SPECIES,158875,Pinus attenuata,Knobcone Pine,Standard,G5,G5
Pinus balfouriana,SPECIES,151759,Pinus balfouriana,Foxtail Pine,Standard,G4,G4
Pinus banksiana,SPECIES,137380,Pinus banksiana,Jack Pine,Standard,G5,G5
Pinus cembroides,SPECIES,128155,Pinus cembroides,Mexican Pinyon,Standard,G4,G4
Pinus clausa,SPECIES,129195,Pinus clausa,Sand Pine,Standard,G4,G4
Pinus contorta,SPECIES,147775,Pinus contorta,Lodgepole Pine,Standard,G5,G5
Pinus coulteri,SPECIES,147375,Pinus coulteri,Coulter's Pine,Standard,G4,G4
