species,limit,n_records
Brodiaea pallida,50000,11
Bromus suksdorfii,50000,124
Broussonetia papyrifera,50000,4298
Buddleja sessiliflora,50000,931
Bulbostylis capillaris,50000,1802
Bursera fagaroides,50000,2726
Bursera microphylla,50000,1249
Bursera simaruba,50000,7117
Butomus umbellatus,50000,50000
Calamagrostis canadensis,50000,4937
Calamagrostis coarctata,50000,79
Calamagrostis expansa,50000,1
Calamagrostis hillebrandii,50000,0
Calamagrostis inexpansa,50000,459
Calamagrostis lapponica,50000,11570
Calla palustris,50000,36548
Callitriche brutia,50000,25974
Callitriche fassettii,50000,11
Callitriche hermaphroditica,50000,8690
Callitriche heterophylla,50000,1357
Callitriche marginata,50000,249
Callitriche palustris,50000,27406
Callitriche stagnalis,50000,50000
Callitriche stenoptera,50000,5
Callitriche terrestris,50000,196
Calocedrus decurrens,50000,1845
Calopogon multiflorus,50000,56
Calopogon tuberosus,50000,1622
Caltha leptosepala,50000,1680
Caltha natans,50000,316
Calystegia sepium,50000,50000
Campanula aparinoides,50000,1608
Canadanthus modestus,50000,523
Canavalia hawaiiensis,50000,11
Canavalia kauaiensis,50000,3
Canavalia molokaiensis,50000,7
Canavalia napaliensis,50000,9
Canavalia pubescens,50000,3
Canavalia sericea,50000,118
Canotia holacantha,50000,481
Capparis sandwichiana,50000,113
Capsicum annuum,50000,14067
Cardamine bulbosa,50000,993
Cardamine pensylvanica,50000,852
Carex acutiformis,50000,50000
Carex adelostoma,50000,8678
Carex alopecoidea,50000,368
Carex anthoxanthea,50000,230
Carex aperta,50000,150
Carex aquatilis,50000,28433
Carex arapahoensis,50000,63
Carex arcta,50000,574
Carex arctiformis,50000,29
Carex atherodes,50000,1748
Carex atlantica,50000,927
Carex bebbii,50000,1526
Carex bicolor,50000,7344
Carex brunnescens,50000,35102
Carex bulbostylis,50000,60
Carex bullata,50000,200
Carex buxbaumii,50000,9731
Carex canescens,50000,50000
Carex chordorrhiza,50000,27239
Carex comosa,50000,1218
Carex conoidea,50000,478
Carex crinita,50000,1595
Carex cryptolepis,50000,459
Carex cusickii,50000,86
Carex debilis,50000,1380
Carex diandra,50000,21401
Carex digitalis,50000,934
Carex distans,50000,28303
Carex divisa,50000,7225
Carex echinata,50000,50000
Carex emoryi,50000,610
Carex exilis,50000,613
Carex exsiccata,50000,363
Carex extensa,50000,10532
Carex fissa,50000,128
Carex flava,50000,50000
Carex folliculata,50000,812
Carex glareosa,50000,3781
Carex granularis,50000,1695
Carex gynandra,50000,767
Carex gynocrates,50000,723
Carex haydenii,50000,370
Carex heleonastes,50000,3760
Carex holostoma,50000,614
Carex hyalinolepis,50000,348
Carex hystericina,50000,1625
Carex interior,50000,1938
Carex intumescens,50000,3299
Carex kauaiensis,50000,3
Carex lachenalii,50000,11872
Carex lacustris,50000,1238
Carex laeviconica,50000,314
Carex laevivaginata,50000,371
Carex lapponica,50000,1127
Carex lasiocarpa,50000,50000
Carex laxa,50000,1686
Carex lenticularis,50000,922
Carex leptalea,50000,2653
Carex limosa,50000,50000
Carex livida,50000,10438
Carex loliacea,50000,10728
Carex louisianica,50000,184
Carex lupulina,50000,2242
Carex lurida,50000,2391
Carex luzulina,50000,412
Carex lyngbyei,50000,2103
Carex macrochaeta,50000,616
Carex magellanica,50000,37703
Carex marina,50000,518
Carex michauxiana,50000,683
Carex microglochin,50000,4733
Carex nebrascensis,50000,1054
Carex nigra,50000,50000
Carex normalis,50000,860
Carex norvegica,50000,6936
Carex obnupta,50000,905
Carex oederi,50000,50000
Carex oligosperma,50000,1200
Carex paleacea,50000,3824
Carex parryana,50000,163
Carex pauciflora,50000,39098
Carex pedunculata,50000,1414
Carex pellita,50000,2298
Carex pluriflora,50000,339
Carex prairea,50000,248
Carex prasina,50000,514
Carex pseudocyperus,50000,50000
Carex rariflora,50000,6808
Carex retrorsa,50000,1673
Carex rossii,50000,1401
Carex rostrata,50000,50000
Carex rotundata,50000,7488
Carex sartwellii,50000,624
Carex saxatilis,50000,11239
Carex scabrata,50000,865
Carex simulata,50000,367
Carex sterilis,50000,654
Carex stipata,50000,3406
Carex stricta,50000,2462
Carex stylosa,50000,342
Carex subspathacea,50000,1162
Carex tenuiflora,50000,2805
Carex trisperma,50000,1839
Carex tuckermanii,50000,321
Carex unilateralis,50000,119
Carex utriculata,50000,4378
Carex vaginata,50000,46473
Carex vesicaria,50000,50000
Carex vulpina,50000,13012
Carex vulpinoidea,50000,4169
Carex wiegandii,50000,130
Carnegiea gigantea,50000,16991
Carpinus caroliniana,50000,4286
Carya aquatica,50000,284
Carya cordiformis,50000,2461
Carya floridana,50000,92
Carya glabra,50000,1372
Carya illinoinensis,50000,2646
Carya laciniosa,50000,236
Carya myristiciformis,50000,105
Carya ovata,50000,3650
Carya pallida,50000,126
Carya texana,50000,173
Carya tomentosa,50000,864
Casasia clusiifolia,50000,95
Castanea dentata,50000,1845
Castela erecta,50000,840
Castilleja minor,50000,817
Catabrosa aquatica,50000,16613
Catalpa bignonioides,50000,1598
Catalpa speciosa,50000,1267
Catesbaea parviflora,50000,30
Ceanothus thyrsiflorus,50000,975
Ceanothus velutinus,50000,929
Celtis australis,50000,10366
Celtis ehrenbergiana,50000,2282
Celtis iguanaea,50000,3792
Celtis laevigata,50000,3466
Celtis lindheimeri,50000,5
Celtis occidentalis,50000,3806
Cenchrus agrimonioides,50000,11
Cenchrus macrourus,50000,1995
Cenchrus setaceus,50000,7701
Centaurium erythraea,50000,50000
Centaurium pulchellum,50000,34387
Centaurium sebaeoides,50000,0
Centipeda minima,50000,3908
Cephalanthus occidentalis,50000,6772
Cephalanthus salicifolius,50000,309
Cerastium arvense,50000,50000
Ceratophyllum demersum,50000,50000
Ceratopteris cornuta,50000,118
Ceratopteris thalictroides,50000,2787
Cercis canadensis,50000,7207
Cercis chinensis,50000,304
Cercocarpus ledifolius,50000,1062
Cercocarpus montanus,50000,3745
Cercocarpus traskiae,50000,22
Cestrum elegans,50000,480
Chamaecrista absus,50000,1736
Chamaecrista lineata,50000,177
Chamaecrista nictitans,50000,5195
Chamaecyparis lawsoniana,50000,5583
Chamaecyparis thyoides,50000,547
Chamaedaphne calyculata,50000,10941
Chara hydropitys,50000,80
Charpentiera densiflora,50000,4
Charpentiera elliptica,50000,18
Cheirodendron dominii,50000,2
Cheirodendron fauriei,50000,13
Cheirodendron forbesii,50000,4
Chelone glabra,50000,2938
Chenopodium rubrum,50000,0
Chilopsis linearis,50000,2436
Chiococca alba,50000,5267
Chondrosum gracile,50000,130
Chrysobalanus icaco,50000,2629
Chrysodracon aurea,50000,4
Chrysodracon auwahiensis,50000,4
Chrysodracon fernaldii,50000,0
Chrysodracon forbesii,50000,2
Chrysodracon halapepe,50000,0
Chrysodracon hawaiiensis,50000,3
Chrysolepis chrysophylla,50000,738
Chrysosplenium americanum,50000,815
Chrysosplenium rosendahlii,50000,61
Chrysosplenium tetrandrum,50000,1849
Chusquea circinata,50000,108
Cibotium nealiae,50000,7
Cicuta bulbifera,50000,1077
Cicuta douglasii,50000,545
Cicuta maculata,50000,3025
Cicuta virosa,50000,34906
Citharexylum spinosum,50000,402
Cladium mariscoides,50000,941
Cladium mariscus,50000,24052
Claytonia cordifolia,50000,194
Claytonia sarmentosa,50000,429
Claytonia tuberosa,50000,103
Clermontia calophylla,50000,0
Clermontia drepanomorpha,50000,6
Clermontia grandiflora,50000,8
Clermontia hawaiiensis,50000,8
Clermontia lindseyana,50000,17
Clermontia oblongifolia,50000,7
Clermontia peleana,50000,4
Clermontia persicifolia,50000,6
Clermontia pyrularia,50000,3
Clermontia samuelii,50000,7
Clermontia tuberculata,50000,2
Clermontia waimeae,50000,0
Clusia rosea,50000,542
Cnidoscolus urens,50000,2389
Coccoloba diversifolia,50000,489
Coccoloba uvifera,50000,2492
Coleanthus subtilis,50000,535
Colubrina arborescens,50000,598
Colubrina elliptica,50000,622
Colubrina greggii,50000,563
Colubrina oppositifolia,50000,6
Colvillea racemosa,50000,133
Comarum palustre,50000,50000
Commelina benghalensis,50000,3157
Commelina caroliniana,50000,43
Commelina diffusa,50000,5039
Commelina erecta,50000,8546
Condalia hookeri,50000,463
Conocarpus erectus,50000,3748
Consolea corallicola,50000,2
Coprosma cordicarpa,50000,0
Coprosma elliptica,50000,4
Coprosma kauensis,50000,15
Coprosma kawaikiniensis,50000,4
Coprosma waimeae,50000,11
Corallorhiza bentleyi,50000,2
Cordia boissieri,50000,1202
Cordia sebestena,50000,911
Cordyline fruticosa,50000,1332
Coreopsis rosea,50000,105
Cornus alternifolia,50000,2495
Cornus amomum,50000,1960
Cornus drummondii,50000,2221
Cornus florida,50000,4650
Cornus foemina,50000,621
Cornus glabrata,50000,131
Cornus nuttallii,50000,906
Cornus rugosa,50000,1213
Cornus sericea,50000,15319
Cornus sessilis,50000,52
Coronilla valentina,50000,4247
Corylus americana,50000,1689
Corylus avellana,50000,50000
Corylus cornuta,50000,4062
Corymbia citriodora,50000,2781
Corynopuntia aggeria,50000,0
Corynopuntia clavata,50000,15
Corynopuntia emoryi,50000,1
Corynopuntia kunzei,50000,0
Corynopuntia parishiorum,50000,0
Corynopuntia pulchella,50000,0
Corynopuntia schottii,50000,6
Coryphantha difficilis,50000,16
Coryphantha echinus,50000,71
Coryphantha macromeris,50000,307
Coryphantha nickelsiae,50000,31
Coryphantha ramillosa,50000,37
Coryphantha recurvata,50000,53
Coryphantha robustispina,50000,60
Coryphantha sulcata,50000,216
Cotinus obovatus,50000,77
Cottea pappophoroides,50000,361
Coursetia caribaea,50000,1550
Coursetia glandulosa,50000,554
Crataegus aestivalis,50000,54
Crataegus beata,50000,16
Crataegus berberifolia,50000,153
Crataegus brachyacantha,50000,99
Crataegus brainerdii,50000,72
Crataegus calpodendron,50000,455
Crataegus chrysocarpa,50000,1886
Crataegus coccinea,50000,322
Crataegus crus-galli,50000,1796
Crataegus dodgei,50000,91
Crataegus douglasii,50000,1642
Crataegus erythropoda,50000,214
Crataegus holmesiana,50000,199
Crataegus iracunda,50000,126
Crataegus lassa,50000,73
Crataegus macrosperma,50000,869
Crataegus marshallii,50000,524
Crataegus mollis,50000,1834
Crataegus opaca,50000,30
Crataegus phaenopyrum,50000,217
Crataegus pruinosa,50000,509
Crataegus punctata,50000,1776
Crataegus quaesita,50000,58
Crataegus rivularis,50000,309
Crataegus schuettei,50000,111
Crataegus spathulata,50000,217
Crataegus submollis,50000,429
Crataegus succulenta,50000,1060
Crataegus tracyi,50000,60
Crataegus viridis,50000,445
Crossopetalum rhacoma,50000,273
Crotalaria lanceolata,50000,1032
Crotalaria micans,50000,1396
Crotalaria pumila,50000,1922
Crotalaria rotundifolia,50000,629
Croton cortesianus,50000,874
Crypsis alopecuroides,50000,2064
Crypsis schoenoides,50000,0
Cryptocarya mannii,50000,11
Cryptocoryne ciliata,50000,15
Ctenitis squamigera,50000,8
Cucurbita digitata,50000,289
Cucurbita foetidissima,50000,2830
Cucurbita okeechobeensis,50000,221
Cucurbita palmata,50000,800
Cucurbita pepo,50000,7303
Cupania glabra,50000,625
Cupressus arizonica,50000,2967
Cupressus bakeri,50000,127
Cupressus goveniana,50000,288
Cupressus guadalupensis,50000,1787
Cupressus macnabiana,50000,217
Cupressus macrocarpa,50000,2378
Cupressus sargentii,50000,371
Cuscuta gronovii,50000,1372
Cyanea aculeatiflora,50000,1
Cyanea acuminata,50000,13
Cyanea asarifolia,50000,1
Cyanea asplenifolia,50000,8
Cyanea calycina,50000,1
Cyanea copelandii,50000,4
Cyanea coriacea,50000,2
Cyanea crispa,50000,5
Cyanea dunbariae,50000,4
Cyanea fissa,50000,9
Cyanea gibsonii,50000,1
Cyanea glabra,50000,8
Cyanea grimesiana,50000,21
Cyanea habenata,50000,1
Cyanea hamatiflora,50000,7
Cyanea hardyi,50000,0
Cyanea hirtella,50000,28
Cyanea horrida,50000,22
Cyanea humboldtiana,50000,6
Cyanea kahiliensis,50000,4
Cyanea kolekoleensis,50000,0
Cyanea konahuanuiensis,50000,0
Cyanea koolauensis,50000,5
Cyanea kuhihewa,50000,1
Cyanea leptostegia,50000,4
Cyanea lobata,50000,8
Cyanea longiflora,50000,6
Cyanea magnicalyx,50000,3
Cyanea mannii,50000,14
Cyanea marksii,50000,1
Cyanea mceldowneyi,50000,10
Cyanea membranacea,50000,0
Cyanea platyphylla,50000,19
Cyanea procera,50000,2
Cyanea pseudofauriei,50000,3
Cyanea recta,50000,8
Cyanea remyi,50000,13
Cyanea rivularis,50000,4
Cyanea shipmanii,50000,6
Cyanea solenocalyx,50000,6
Cyanea spathulata,50000,7
Cyanea st-johnii,50000,0
Cyanea stictophylla,50000,2
Cyanea tritomantha,50000,7
Cyanea truncata,50000,0
Cyanea undulata,50000,1
Cyclosorus boydiae,50000,3
Cyclosorus interruptus,50000,2521
Cyclosorus wailele,50000,1
Cylindropuntia abyssi,50000,75
Cylindropuntia acanthocarpa,50000,2431
Cylindropuntia arbuscula,50000,317
Cylindropuntia bigelovii,50000,2499
Cylindropuntia californica,50000,740
Cylindropuntia davisii,50000,77
Cylindropuntia echinocarpa,50000,2000
Cylindropuntia fulgida,50000,2699
Cylindropuntia ganderi,50000,1263
Cylindropuntia imbricata,50000,4150
Cylindropuntia kleiniae,50000,266
Cylindropuntia leptocaulis,50000,3533
Cylindropuntia multigeniculata,50000,56
Cylindropuntia munzii,50000,126
Cylindropuntia prolifera,50000,1371
Cylindropuntia ramosissima,50000,1516
Cylindropuntia spinosior,50000,439
Cylindropuntia tunicata,50000,365
Cylindropuntia versicolor,50000,137
Cylindropuntia whipplei,50000,658
Cylindropuntia wolfii,50000,174
Cynodon transvaalensis,50000,90
Cyperus alopecuroides,50000,369
Cyperus alternifolius,50000,1641
Cyperus amabilis,50000,959
Cyperus articulatus,50000,2759
Cyperus compressus,50000,2029
Cyperus cyperoides,50000,2997
Cyperus dentatus,50000,395
Cyperus distans,50000,1829
Cyperus drummondii,50000,30
Cyperus eragrostis,50000,19664
Cyperus erythrorhizos,50000,988
Cyperus flavescens,50000,4330
Cyperus fuscus,50000,20596
Cyperus grayi,50000,133
Cyperus haspan,50000,5590
Cyperus hystricoides,50000,69
Cyperus imbricatus,50000,546
Cyperus iria,50000,4638
Cyperus laevigatus,50000,3688
Cyperus lanceolatus,50000,1256
Cyperus longus,50000,12712
Cyperus macrostachyos,50000,948
Cyperus papyrus,50000,1166
Cyperus pennatiformis,50000,10
Cyperus polystachyos,50000,5217
Cyperus rotundus,50000,10557
Cyperus sesquiflorus,50000,1782
Cyperus squarrosus,50000,3527
Cyperus strigosus,50000,1940
Cypripedium acaule,50000,5310
Cypripedium arietinum,50000,259
Cypripedium californicum,50000,140
Cypripedium candidum,50000,235
Cypripedium fasciculatum,50000,79
Cypripedium guttatum,50000,1194
Cypripedium kentuckiense,50000,21
Cypripedium montanum,50000,358
Cypripedium parviflorum,50000,2950
Cypripedium passerinum,50000,549
Cypripedium reginae,50000,1222
Cypripedium yatabeanum,50000,69
Cyrilla racemiflora,50000,1257
Cyrtandra crenata,50000,0
Cyrtandra cyaneoides,50000,1
Cyrtandra dentata,50000,1
Cyrtandra giffardii,50000,9
Cyrtandra heinrichii,50000,1
Cyrtandra kaulantha,50000,1
Cyrtandra oenobarba,50000,3
Cyrtandra paliku,50000,1
Cyrtandra polyantha,50000,1
Cyrtandra subumbellata,50000,4
Cyrtandra viridiflora,50000,0
Cytisus striatus,50000,3012
Dalea bicolor,50000,1167
Dalea compacta,50000,106
Dalea formosa,50000,1038
Dalea lasiathera,50000,71
Dalea obovata,50000,25
Dalea ornata,50000,115
Dalea sabinalis,50000,0
Dalea scandens,50000,197
Damburneya coriacea,50000,744
Darlingtonia californica,50000,724
Dasylirion wheeleri,50000,960
Daucus pusillus,50000,3013
Decodon verticillatus,50000,1105
Delissea kauaiensis,50000,3
Delissea rhytidosperma,50000,4
Delissea takeuchii,50000,0
Delissea waianaeensis,50000,1
Delonix regia,50000,3475
Dendromecon rigida,50000,1815
Dermatophyllum secundiflorum,50000,1257
Desmodium glutinosum,50000,1609
Desmodium grahamii,50000,403
Desmodium intortum,50000,968
Desmodium lindheimeri,50000,493
Desmodium nuttallii,50000,56
Dichrostachys cinerea,50000,4272
Dicranopteris linearis,50000,5390
Dionaea muscipula,50000,239
Diplazium molokaiense,50000,3
Distichlis spicata,50000,4351
Dodonaea viscosa,50000,38677
Doellingeria umbellata,50000,2930
Donrichardsia macroneuron,50000,3
Dopatrium junceum,50000,228
Doryopteris angelica,50000,3
Downingia elegans,50000,127
Downingia laeta,50000,90
Drosera filiformis,50000,365
Drosera linearis,50000,312
Drosera rotundifolia,50000,50000
Drypetes lateriflora,50000,547
Dubautia arborea,50000,20
Dubautia herbstobatae,50000,1
Dubautia kalalauensis,50000,3
Dubautia kenwoodii,50000,0
Dubautia latifolia,50000,7
Dubautia microcephala,50000,3
Dubautia pauciflorula,50000,3
Dubautia plantaginea,50000,31
Dubautia reticulata,50000,2
Dulichium arundinaceum,50000,1759
Duranta erecta,50000,3371
Ebenopsis ebano,50000,511
Echeandia flavescens,50000,622
Echinocactus horizonthalonius,50000,3785
Echinocactus polycephalus,50000,245
Echinocactus texensis,50000,627
Echinocereus arizonicus,50000,36
Echinocereus berlandieri,50000,27
Echinocereus bonkerae,50000,198
Echinocereus chisosensis,50000,14
Echinocereus coccineus,50000,2059
Echinocereus dasyacanthus,50000,1743
Echinocereus engelmannii,50000,3669
Echinocereus enneacanthus,50000,790
Echinocereus fasciculatus,50000,600
Echinocereus fendleri,50000,428
Echinocereus ledingii,50000,24
Echinocereus nicholii,50000,125
Echinocereus papillosus,50000,7
Echinocereus pectinatus,50000,441
Echinocereus pentalophus,50000,395
Echinocereus poselgeri,50000,58
Echinocereus pseudopectinatus,50000,19
Echinocereus reichenbachii,50000,1105
Echinocereus rigidissimus,50000,292
Echinocereus russanthus,50000,119
Echinocereus santaritensis,50000,167
Echinocereus stramineus,50000,1093
Echinocereus triglochidiatus,50000,1461
Echinocereus viridiflorus,50000,825
Echinochloa crus-galli,50000,50000
Echinochloa crus-pavonis,50000,1573
Echinochloa frumentacea,50000,764
Echinochloa walteri,50000,532
Eclipta prostrata,50000,0
Ehretia anacua,50000,632
Ehrharta stipoides,50000,50000
Elaeagnus angustifolia,50000,4649
Elaeagnus commutata,50000,2003
Elatine ambigua,50000,172
Elatine americana,50000,115
Elatine brachysperma,50000,146
Elatine minima,50000,247
Elatine ojibwayensis,50000,0
Elatine rubella,50000,91
Elatine triandra,50000,3806
Eleocharis acicularis,50000,31643
Eleocharis atropurpurea,50000,578
Eleocharis compressa,50000,455
Eleocharis elliptica,50000,635
Eleocharis erythropoda,50000,1353
Eleocharis flavescens,50000,626
Eleocharis geniculata,50000,3513
Eleocharis intermedia,50000,281
Eleocharis macrostachya,50000,1853
Eleocharis nigrescens,50000,76
Eleocharis obtusa,50000,2015
Eleocharis palustris,50000,50000
Eleocharis quinqueflora,50000,28241
Eleocharis robbinsii,50000,306
Eleocharis rostellata,50000,686
Eleocharis suksdorfiana,50000,94
Eleocharis uniglumis,50000,31492
Eleusine indica,50000,14823
Elodea bifoliata,50000,106
