scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,redlistCriteria,B1_binary,B2_binary,5,8,NA,11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Iris lacustris,Iris lacustris,2015,Near Threatened,26-125,26,EN,NA,NA,NA,29,Yes,78125.25941741,112,EN,46874.0169882656,LC,46878.89502977354,LC,46878.89502977354,LC,10,37832.8439262271,32,EN,7928.09350188519,VU,7802.117088943662,VU,7802.117088943662,VU,19,76791.2809073385,76,EN,45883.3491228831,LC,45888.92832243265,LC,45888.92832243265,LC,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Least Concern
Juglans californica,Juglans californica,2018,Near Threatened,1200-2000,1200,VU,28852,28852,NT,288,Yes,283248.315931097,564,VU,88112.2682602572,LC,90032.55949186515,LC,81137.41711512468,LC,3,16295.6426165287,12,EN,2530.04600085281,EN,2522.5286133720656,EN,2270.803712292807,EN,285,283248.315931097,568,VU,80317.9211988164,LC,82167.53201922103,LC,75949.05823138617,LC,0,1,0,B2b(iii),0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Juglans cinerea,Juglans cinerea,2018,Endangered,NA,NA,NA,NA,NA,NA,671,Yes,32736827.1725899,1720,VU,14309646.3647422,LC,13902402.084784357,LC,5680840.626339994,LC,34,21672494.219548,112,EN,7094990.30639978,LC,6536900.695507631,LC,2762924.7628686265,LC,637,32504072.5164253,1644,VU,13716528.6514483,LC,13379021.510032471,LC,5329984.095008158,LC,0,1,0,A2e+3e+4e,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Lathyrus rotundifolius,Lathyrus rotundifolius,2018,Near Threatened,144,144,EN,405962,405962,LC,79,No,6481513.77186236,96,EN,2861291.1956624,LC,2799219.723552656,LC,2447236.6586394124,LC,11,1334771.31068061,12,EN,10421.5209063174,VU,10832.168668820988,VU,8669.857304568752,VU,68,5188114.56977447,92,EN,850086.221238202,LC,977165.9082246224,LC,779469.9297844457,LC,0,1,0,B2b(iii),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Least Concern
Lophophora williamsii,Lophophora williamsii,2009,Vulnerable,NA,NA,NA,NA,NA,NA,18,Yes,357262.252577386,72,EN,134951.531829411,LC,128621.3711118931,LC,128621.3711118931,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,357262.252577386,72,EN,134951.531829411,LC,128621.3711118931,LC,128621.3711118931,LC,0,1,0,A4acd,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Least Concern
Olneya tesota,Olneya tesota,2018,Near Threatened,NA,NA,NA,494026,494026,LC,471,Yes,850790.469578952,980,VU,401889.022573893,LC,394050.3913867665,LC,267301.38360977214,LC,7,619356.124831189,24,EN,236385.933103303,LC,225810.361951055,LC,137342.57085585833,LC,464,850790.469578952,980,VU,401889.022573893,LC,394050.3913867665,LC,267301.38360977214,LC,0,1,0,A2d,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Pediocactus bradyi,Pediocactus bradyi,2010,Near Threatened,NA,NA,NA,NA,NA,NA,4,Yes,118.280308343407,16,EN,52.8937722118404,CR,52.99480334341024,CR,52.99480334341024,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,118.280308343407,16,EN,52.8937722118404,CR,52.99480334341024,CR,52.99480334341024,CR,1,0,0,NA,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Critically Endangered
Pediocactus paradinei,Pediocactus paradinei,2010,Endangered,NA,NA,NA,1600,1600,EN,5,Yes,132.661593717422,20,EN,64.8672973317165,CR,64.97318382765661,CR,64.97318382765661,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,132.661593717422,20,EN,64.8672973317165,CR,64.97318382765661,CR,64.97318382765661,CR,1,0,0,B1ab(iv)c(iv),1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Critically Endangered
Picea breweriana,Picea breweriana,2010,Vulnerable,775,775,VU,12000,12000,VU,16,Yes,17055664.768172,64,EN,4695438.93932875,LC,5114160.553251472,LC,2127671.3717711237,LC,5,15327036.6851356,20,EN,2252597.98539176,LC,2655426.3352924623,LC,949961.1939844424,LC,11,14005121.1517384,44,EN,3359568.85846438,LC,3498652.805113689,LC,1557717.244877357,LC,0,1,0,"A3c+4ac; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Pinus albicaulis,Pinus albicaulis,2011,Endangered,NA,NA,NA,337067,337067,LC,29,Yes,2318967.87138938,100,EN,1341773.04063129,LC,1263230.0584569816,LC,1247215.950183018,LC,3,0,4,CR,0,CR,0,CR,0,CR,26,2318967.87138938,104,EN,1324897.78500538,LC,1263230.0584569816,LC,1247215.950183018,LC,0,1,0,A4ace,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
